WKN,Basiswert,Emittent,Typ,Bid,Ask,K.O.,Hebel,Laufzeit,Basis-preis,Abstand,Abstand in %,Risk/Reward
VD3CU9,Rheinmetall,VON,Put,0.0,0.0,691.47,2.87,endlos,691.47,173.67000000000007,33.53997682502899,60.512195121951244
JK5RU4,Rheinmetall,JPMBV,Put,18.04,18.06,694.2,2.85,endlos,694.2,176.4000000000001,34.06720741599075,61.894736842105296
JK5P2E,Rheinmetall,JPMBV,Put,18.11,18.13,654.1,2.84,endlos,695.92,178.12,34.399382000772505,62.718309859154935
JK7PLK,Rheinmetall,JPMBV,Put,1.81,1.82,694.66,2.84,endlos,694.66,176.86,34.156044804943996,62.27464788732395
UM3W3U,Rheinmetall,UBSL,Put,1.81,1.82,692.33,2.83,endlos,692.33,174.5300000000001,33.70606411741987,61.67137809187282
VD3CU8,Rheinmetall,VON,Put,18.75,18.77,700.47,2.74,endlos,700.47,182.67000000000007,35.27809965237545,66.66788321167886
PC64T4,Rheinmetall,BNP,Put,18.77,18.8,699.9,2.74,endlos,699.9,182.10000000000002,35.16801853997683,66.45985401459855
PC8JMJ,Rheinmetall,BNP,Put,1.88,1.89,699.97,2.73,endlos,699.97,182.17000000000007,35.181537273078426,66.72893772893775
UM2YZ2,Rheinmetall,UBSL,Put,19.02,19.05,701.19,2.7,endlos,701.19,183.3900000000001,35.417149478563175,67.92222222222226
UM3CSH,Rheinmetall,UBSL,Put,1.9,1.91,701.19,2.7,endlos,701.19,183.3900000000001,35.417149478563175,67.92222222222226
JK4J59,Rheinmetall,JPMBV,Put,19.04,19.06,704.21,2.7,endlos,704.21,186.41000000000008,36.000386249517206,69.04074074074077
VD3CU7,Rheinmetall,VON,Put,19.05,19.07,703.48,2.7,endlos,703.48,185.68000000000006,35.85940517574355,68.77037037037039
JK58GH,Rheinmetall,JPMBV,Put,1.91,1.92,704.66,2.69,endlos,704.66,186.86,36.08729239088452,69.46468401486989
VD3CUN,Rheinmetall,VON,Put,19.15,19.17,670.3,2.69,endlos,705.78,187.98000000000002,36.303592120509855,69.88104089219331
JK38WG,Rheinmetall,JPMBV,Put,19.18,19.2,664.2,2.68,endlos,706.61,188.81000000000006,36.46388567014293,70.45149253731346
PC7LA9,Rheinmetall,BNP,Put,19.25,19.28,704.93,2.67,endlos,704.93,187.13,36.13943607570491,70.08614232209737
PC8JMK,Rheinmetall,BNP,Put,1.93,1.94,704.97,2.66,endlos,704.97,187.17000000000007,36.14716106604868,70.36466165413536
SW8NBN,Rheinmetall,scoge,Put,1.94,1.95,707.58,2.65,endlos,707.58,189.7800000000001,36.65121668597916,71.61509433962267
SU87TM,Rheinmetall,scoge,Put,1.94,1.95,669.08,2.64,endlos,709.57,191.7700000000001,37.035534955581326,72.64015151515154
JK4J5B,Rheinmetall,JPMBV,Put,19.54,19.56,709.2,2.63,endlos,709.2,191.4000000000001,36.964078794901525,72.77566539923959
UM28T3,Rheinmetall,UBSL,Put,19.55,19.58,706.34,2.63,endlos,706.34,188.54000000000008,36.411741985322536,71.68821292775668
UM3W44,Rheinmetall,UBSL,Put,1.95,1.96,706.34,2.63,endlos,706.34,188.54000000000008,36.411741985322536,71.68821292775668
PC7K0E,Rheinmetall,BNP,Put,19.56,19.59,674.44,2.63,endlos,709.93,192.13,37.10505986867517,73.0532319391635
DQ2AGX,Rheinmetall,DZ,Put,19.62,19.66,677.03,2.62,endlos,710.82,193.0200000000001,37.27694090382389,73.67175572519088
JK58GJ,Rheinmetall,JPMBV,Put,1.96,1.97,709.66,2.62,endlos,709.66,191.86,37.05291618385478,73.22900763358778
PC8H4K,Rheinmetall,BNP,Put,1.96,1.97,674.47,2.62,endlos,709.97,192.17000000000007,37.112784859018944,73.34732824427483
VD3NC4,Rheinmetall,VON,Put,19.65,19.67,709.44,2.62,endlos,709.44,191.6400000000001,37.0104287369641,73.14503816793896
JK4ABS,Rheinmetall,JPMBV,Put,19.69,19.71,669.2,2.61,endlos,711.92,194.12,37.48937813827733,74.37547892720308
PC68U8,Rheinmetall,BNP,Put,19.78,19.81,709.91,2.6,endlos,709.91,192.11,37.10119737350329,73.88846153846154
PC8JML,Rheinmetall,BNP,Put,1.98,1.99,709.97,2.59,endlos,709.97,192.17000000000007,37.112784859018944,74.19691119691123
VD3NC2,Rheinmetall,VON,Put,19.95,19.97,712.45,2.58,endlos,712.45,194.6500000000001,37.591734260332196,75.44573643410855
JK4JKK,Rheinmetall,JPMBV,Put,20.01,20.03,714.2,2.57,endlos,714.2,196.4000000000001,37.92970258787179,76.42023346303506
VD3CUK,Rheinmetall,VON,Put,0.0,0.0,678.3,2.56,endlos,714.18,196.38,37.925840092699886,76.7109375
JK58GK,Rheinmetall,JPMBV,Put,2.01,2.02,714.65,2.55,endlos,714.65,196.85000000000002,38.016608729239096,77.19607843137257
PC8JMN,Rheinmetall,BNP,Put,2.08,2.09,719.97,2.47,endlos,719.97,202.17000000000007,39.044032444959456,81.85020242914982
DQ1R82,Rheinmetall,DZ,Put,20.89,20.93,689.14,2.46,endlos,723.53,205.73000000000002,39.73155658555427,83.63008130081302
JK5KXQ,Rheinmetall,JPMBV,Put,21.08,21.1,724.23,2.44,endlos,724.23,206.43000000000006,39.866743916570115,84.60245901639347
VD3RK7,Rheinmetall,VON,Put,21.1,21.12,723.94,2.44,endlos,723.94,206.1400000000001,39.81073773657785,84.48360655737709
UM3WNA,Rheinmetall,UBSL,Put,2.11,2.12,722.34,2.43,endlos,722.34,204.54000000000008,39.50173812282736,84.17283950617286
JK58GM,Rheinmetall,JPMBV,Put,2.11,2.12,724.65,2.43,endlos,724.65,206.85000000000002,39.947856315179614,85.12345679012346
UM32AW,Rheinmetall,UBSL,Put,21.14,21.17,722.34,2.43,endlos,722.34,204.54000000000008,39.50173812282736,84.17283950617286
PC74VM,Rheinmetall,BNP,Put,21.25,21.28,724.95,2.42,endlos,724.95,207.1500000000001,40.005793742757845,85.59917355371906
JK4T44,Rheinmetall,JPMBV,Put,21.28,21.3,684.2,2.42,endlos,727.88,210.08000000000004,40.571649285438404,86.80991735537192
PC8JMQ,Rheinmetall,BNP,Put,2.13,2.14,724.97,2.41,endlos,724.97,207.17000000000007,40.00965623792972,85.96265560165978
VD3RKV,Rheinmetall,VON,Put,21.4,21.42,726.94,2.4,endlos,726.94,209.1400000000001,40.39011201236001,87.14166666666671
SW8TJD,Rheinmetall,scoge,Put,2.14,2.15,727.6,2.4,endlos,727.6,209.80000000000007,40.517574353032074,87.4166666666667
PC74H9,Rheinmetall,BNP,Put,21.53,21.56,693.45,2.39,endlos,729.95,212.1500000000001,40.9714175357281,88.76569037656907
JK5NS7,Rheinmetall,JPMBV,Put,21.59,21.61,729.29,2.38,endlos,729.29,211.49,40.84395519505601,88.86134453781513
JK58GN,Rheinmetall,JPMBV,Put,2.16,2.17,729.65,2.38,endlos,729.65,211.85000000000002,40.91348010814988,89.01260504201682
PC8H4M,Rheinmetall,BNP,Put,2.16,2.17,693.47,2.38,endlos,729.97,212.17000000000007,40.97528003089998,89.14705882352945
VD3NCS,Rheinmetall,VON,Put,21.67,21.69,694.3,2.37,endlos,730.95,213.1500000000001,41.16454229432215,89.93670886075952
VD3RK9,Rheinmetall,VON,Put,21.7,21.72,729.94,2.37,endlos,729.94,212.1400000000001,40.969486288142164,89.5105485232068
PC7BGX,Rheinmetall,BNP,Put,21.72,21.75,729.91,2.37,endlos,729.91,212.11,40.96369254538432,89.49789029535866
UM3NNM,Rheinmetall,UBSL,Put,2.17,2.18,728.36,2.37,endlos,728.36,210.56000000000006,40.66434916956355,88.84388185654011
DQ2EKG,Rheinmetall,DZ,Put,21.73,21.77,697.06,2.37,endlos,731.86,214.06000000000006,41.340285824642734,90.32067510548525
UM3PTL,Rheinmetall,UBSL,Put,21.74,21.77,728.36,2.37,endlos,728.36,210.56000000000006,40.66434916956355,88.84388185654011
JK4T45,Rheinmetall,JPMBV,Put,21.81,21.83,689.2,2.36,endlos,733.2,215.4000000000001,41.59907300115877,91.27118644067801
PC8JMR,Rheinmetall,BNP,Put,2.18,2.19,729.97,2.36,endlos,729.97,212.17000000000007,40.97528003089998,89.90254237288138
VD3RK2,Rheinmetall,VON,Put,22.0,22.02,732.94,2.34,endlos,732.94,215.1400000000001,41.548860563924315,91.94017094017099
JK5NS6,Rheinmetall,JPMBV,Put,22.09,22.11,734.29,2.33,endlos,734.29,216.49,41.80957898802627,92.91416309012875
JK58GP,Rheinmetall,JPMBV,Put,2.21,2.22,734.64,2.32,endlos,734.64,216.84000000000003,41.877172653534195,93.46551724137933
PC8C8N,Rheinmetall,BNP,Put,22.25,22.28,734.96,2.31,endlos,734.96,217.16000000000008,41.9389725762843,94.00865800865805
VD3RK1,Rheinmetall,VON,Put,22.3,22.32,735.94,2.31,endlos,735.94,218.1400000000001,42.12823483970647,94.43290043290047
PC8JMT,Rheinmetall,BNP,Put,2.23,2.24,734.97,2.3,endlos,734.97,217.17000000000007,41.940903823870244,94.42173913043482
GG6R7K,Rheinmetall,GS,Put,23.28,23.3,747.44,2.21,endlos,747.44,229.6400000000001,44.34916956353807,103.90950226244348
JK4SF0,Rheinmetall,JPMBV,Put,23.4,23.42,704.2,2.2,endlos,749.16,231.36,44.68134414831982,105.16363636363636
UM4G9Z,Rheinmetall,UBSL,Put,2.34,2.35,745.62,2.19,endlos,745.62,227.82000000000005,43.997682502896886,104.027397260274
UM4CP2,Rheinmetall,UBSL,Put,23.47,23.5,745.62,2.19,endlos,745.62,227.82000000000005,43.997682502896886,104.027397260274
VD4AH5,Rheinmetall,VON,Put,23.49,23.51,747.88,2.19,endlos,747.88,230.08000000000004,44.43414445731944,105.05936073059362
JK5NS8,Rheinmetall,JPMBV,Put,23.58,23.6,749.27,2.18,endlos,749.27,231.47000000000003,44.70258787176517,106.17889908256882
JK58GS,Rheinmetall,JPMBV,Put,2.36,2.37,749.64,2.18,endlos,749.64,231.84000000000003,44.77404403244497,106.34862385321101
VD3RKL,Rheinmetall,VON,Put,0.0,0.0,712.3,2.18,endlos,749.94,232.1400000000001,44.831981460023194,106.48623853211014
PC7BGZ,Rheinmetall,BNP,Put,23.73,23.76,749.9,2.17,endlos,749.9,232.10000000000002,44.82425646967942,106.95852534562214
PC8JMV,Rheinmetall,BNP,Put,2.38,2.39,749.97,2.16,endlos,749.97,232.17000000000007,44.83777520278102,107.48611111111114
JK4SF1,Rheinmetall,JPMBV,Put,23.93,23.95,709.2,2.15,endlos,754.47,236.67000000000007,45.70683661645425,110.0790697674419
JK6ZMT,Rheinmetall,JPMBV,Put,24.08,24.1,754.29,2.14,endlos,754.29,236.49,45.672074159907304,110.50934579439252
JK58GT,Rheinmetall,JPMBV,Put,2.41,2.42,754.63,2.13,endlos,754.63,236.83000000000004,45.73773657782929,111.18779342723008
DQ1WEL,Rheinmetall,DZ,Put,24.14,24.18,720.04,2.13,endlos,755.97,238.17000000000007,45.996523754345326,111.81690140845075
UM3X79,Rheinmetall,UBSL,Put,2.42,2.43,753.27,2.12,endlos,753.27,235.47000000000003,45.47508690614138,111.07075471698114
UM3QEU,Rheinmetall,UBSL,Put,24.24,24.27,753.27,2.12,endlos,753.27,235.47000000000003,45.47508690614138,111.07075471698114
VD3RKF,Rheinmetall,VON,Put,24.41,24.43,720.3,2.11,endlos,758.35,240.55000000000007,46.45616067979917,114.00473933649293
JK4SF6,Rheinmetall,JPMBV,Put,24.46,24.48,714.1,2.1,endlos,759.78,241.98000000000002,46.732329084588656,115.22857142857143
PC7K0F,Rheinmetall,BNP,Put,24.53,24.56,721.93,2.1,endlos,759.93,242.13,46.761297798377754,115.3
JK6ZMS,Rheinmetall,JPMBV,Put,24.58,24.6,759.29,2.09,endlos,759.29,241.49,46.637697952877566,115.54545454545456
JK58GU,Rheinmetall,JPMBV,Put,2.46,2.47,759.63,2.09,endlos,759.63,241.83000000000004,46.703360370799544,115.7081339712919
PC8H4P,Rheinmetall,BNP,Put,2.46,2.47,721.97,2.09,endlos,759.97,242.17000000000007,46.76902278872153,115.87081339712923
SW8SNS,Rheinmetall,scoge,Put,2.47,2.48,719.08,2.08,endlos,762.37,244.57000000000005,47.23252220934725,117.58173076923079
PC7LBB,Rheinmetall,BNP,Put,24.74,24.77,759.93,2.08,endlos,759.93,242.13,46.761297798377754,116.40865384615384
UM350L,Rheinmetall,UBSL,Put,2.48,2.49,759.63,2.07,endlos,759.63,241.83000000000004,46.703360370799544,116.82608695652176
PC8JMW,Rheinmetall,BNP,Put,2.48,2.49,759.97,2.07,endlos,759.97,242.17000000000007,46.76902278872153,116.99033816425126
UM4G8K,Rheinmetall,UBSL,Put,24.87,24.9,759.63,2.07,endlos,759.63,241.83000000000004,46.703360370799544,116.82608695652176
JK4SF2,Rheinmetall,JPMBV,Put,24.99,25.01,719.1,2.06,endlos,765.1,247.30000000000007,47.759752800309016,120.04854368932043
JK6ZMU,Rheinmetall,JPMBV,Put,25.08,25.1,764.28,2.05,endlos,764.28,246.48000000000002,47.601390498261885,120.23414634146343
DQ157C,Rheinmetall,DZ,Put,25.11,25.15,764.08,2.05,endlos,764.08,246.2800000000001,47.56276554654309,120.1365853658537
JK7UZC,Rheinmetall,JPMBV,Put,27.09,27.11,784.45,1.9,endlos,784.45,266.6500000000001,51.49671687910392,140.34210526315795
JK67HS,Rheinmetall,JPMBV,Put,2.71,2.72,784.64,1.9,endlos,784.64,266.84000000000003,51.53341058323678,140.4421052631579
JK5KBA,Rheinmetall,JPMBV,Put,27.18,27.2,739.2,1.89,endlos,786.47,268.6700000000001,51.88682889146391,142.1534391534392
UM35M1,Rheinmetall,UBSL,Put,2.72,2.73,783.6,1.89,endlos,783.6,265.80000000000007,51.33256083429898,140.6349206349207
UM4DRT,Rheinmetall,UBSL,Put,27.26,27.29,783.6,1.89,endlos,783.6,265.80000000000007,51.33256083429898,140.6349206349207
DQ2G1H,Rheinmetall,DZ,Put,27.45,27.49,787.59,1.87,endlos,787.59,269.7900000000001,52.10312862108925,144.2727272727273
JK7UZA,Rheinmetall,JPMBV,Put,27.59,27.61,789.45,1.86,endlos,789.45,271.6500000000001,52.462340672074184,146.04838709677423
JK6701,Rheinmetall,JPMBV,Put,2.76,2.77,789.66,1.86,endlos,789.66,271.86,52.50289687137892,146.16129032258064
JK5KBB,Rheinmetall,JPMBV,Put,27.71,27.73,744.2,1.86,endlos,791.78,273.98,52.912321359598316,147.30107526881721
PC8C8Q,Rheinmetall,BNP,Put,27.75,27.78,789.96,1.85,endlos,789.96,272.1600000000001,52.56083429895715,147.11351351351354
PC8JMZ,Rheinmetall,BNP,Put,2.78,2.79,789.97,1.85,endlos,789.97,272.1700000000001,52.56276554654309,147.11891891891895
JK7UZB,Rheinmetall,JPMBV,Put,28.09,28.11,794.45,1.83,endlos,794.45,276.6500000000001,53.42796446504444,151.17486338797818
JK6PHA,Rheinmetall,JPMBV,Put,2.81,2.82,794.74,1.83,endlos,794.74,276.94000000000005,53.483970645036706,151.33333333333337
JK5KB9,Rheinmetall,JPMBV,Put,28.24,28.26,749.2,1.82,endlos,797.1,279.30000000000007,53.939745075318676,153.46153846153848
MG11RF,Rheinmetall,MSI,Put,28.26,28.28,749.91,1.82,endlos,797.77,279.97,54.06913866357668,153.82967032967034
PC74JB,Rheinmetall,BNP,Put,28.57,28.6,759.95,1.8,endlos,799.94,282.1400000000001,54.48821938972579,156.7444444444445
JK6CV1,Rheinmetall,JPMBV,Put,28.59,28.61,799.44,1.8,endlos,799.44,281.6400000000001,54.39165701042876,156.46666666666673
JK6PHB,Rheinmetall,JPMBV,Put,2.86,2.87,799.73,1.8,endlos,799.73,281.93000000000006,54.447663190421025,156.62777777777782
JK7FSS,Rheinmetall,JPMBV,Put,28.77,28.79,754.2,1.79,endlos,802.44,284.6400000000001,54.971031286210916,159.01675977653636
DQ15YS,Rheinmetall,DZ,Put,28.77,28.81,764.15,1.79,endlos,802.28,284.48,54.94013132483585,158.927374301676
UM3RR2,Rheinmetall,UBSL,Put,2.89,2.9,801.44,1.78,endlos,801.44,283.6400000000001,54.77790652761686,159.34831460674164
UM31QS,Rheinmetall,UBSL,Put,29.05,29.08,801.44,1.77,endlos,801.44,283.6400000000001,54.77790652761686,160.2485875706215
JK6X3H,Rheinmetall,JPMBV,Put,29.1,29.12,804.58,1.77,endlos,804.58,286.7800000000001,55.38431826960218,162.02259887005656
JK6PHD,Rheinmetall,JPMBV,Put,2.91,2.92,804.73,1.77,endlos,804.73,286.93000000000006,55.41328698339129,162.1073446327684
JK7FSR,Rheinmetall,JPMBV,Put,29.3,29.32,759.2,1.76,endlos,807.75,289.95000000000005,55.99652375434532,164.74431818181822
GG4W15,Rheinmetall,GS,Put,29.29,29.31,807.48,1.76,endlos,807.48,289.68000000000006,55.94438006952493,164.59090909090912
JK6X3J,Rheinmetall,JPMBV,Put,29.6,29.62,809.58,1.74,endlos,809.58,291.7800000000001,56.349942062572445,167.68965517241384
JK6PHE,Rheinmetall,JPMBV,Put,2.96,2.97,809.73,1.74,endlos,809.73,291.93000000000006,56.37891077636154,167.77586206896555
UM40W4,Rheinmetall,UBSL,Put,2.97,2.98,808.9,1.73,endlos,808.9,291.1,56.218617226728476,168.26589595375725
UM4CHA,Rheinmetall,UBSL,Put,29.8,29.83,808.9,1.73,endlos,808.9,291.1,56.218617226728476,168.26589595375725
UM4FWK,Rheinmetall,UBSL,Put,33.81,33.84,849.09,1.52,endlos,849.09,331.2900000000001,63.98030127462343,217.9539473684211
JK6BB1,Rheinmetall,JPMBV,Put,34.11,34.13,804.5,1.51,endlos,855.94,338.1400000000001,65.30320587099268,223.93377483443714
DQ2GUH,Rheinmetall,DZ,Put,34.28,34.32,816.64,1.5,endlos,857.42,339.62,65.58903051371186,226.41333333333333
UM4K0D,Rheinmetall,UBSL,Put,34.37,34.4,854.64,1.5,endlos,854.64,336.84000000000003,65.05214368482041,224.56000000000003
UM4L3N,Rheinmetall,UBSL,Put,3.43,3.44,854.64,1.5,endlos,854.64,336.84000000000003,65.05214368482041,224.56000000000003
JK6BB0,Rheinmetall,JPMBV,Put,34.64,34.66,809.5,1.49,endlos,861.26,343.46000000000004,66.33062958671303,230.510067114094
JK6SBY,Rheinmetall,JPMBV,Put,35.17,35.19,814.5,1.46,endlos,866.57,348.7700000000001,67.35612205484746,238.8835616438357
UM4D70,Rheinmetall,UBSL,Put,3.54,3.55,865.58,1.45,endlos,865.58,347.7800000000001,67.16492854383934,239.84827586206904
UM4C1R,Rheinmetall,UBSL,Put,35.46,35.49,865.58,1.45,endlos,865.58,347.7800000000001,67.16492854383934,239.84827586206904
JK6BAZ,Rheinmetall,JPMBV,Put,35.7,35.72,819.5,1.44,endlos,871.89,354.09000000000003,68.38354577056779,245.89583333333337
UM4ALJ,Rheinmetall,UBSL,Put,3.6,3.61,871.71,1.43,endlos,871.71,353.9100000000001,68.34878331402088,247.48951048951056
UM384Y,Rheinmetall,UBSL,Put,36.08,36.11,871.71,1.43,endlos,871.71,353.9100000000001,68.34878331402088,247.48951048951056
UM4E9R,Rheinmetall,UBSL,Put,3.71,3.72,882.57,1.39,endlos,882.57,364.7700000000001,70.44611819235229,262.4244604316548
UM4E89,Rheinmetall,UBSL,Put,37.16,37.19,882.57,1.38,endlos,882.57,364.7700000000001,70.44611819235229,264.3260869565218
UM4C3L,Rheinmetall,UBSL,Put,3.82,3.83,893.57,1.35,endlos,893.57,375.7700000000001,72.57049053688685,278.3481481481482
UM35Q5,Rheinmetall,UBSL,Put,38.26,38.29,893.57,1.34,endlos,893.57,375.7700000000001,72.57049053688685,280.4253731343284
GG5T50,Rheinmetall,GS,Put,41.96,41.98,934.93,1.23,endlos,934.93,417.13,80.55813055233682,339.130081300813
GG5YEV,Rheinmetall,GS,Put,44.24,44.26,957.66,1.16,endlos,957.66,439.86,84.94785631517962,379.18965517241384
