WKN,Basiswert,Emittent,Typ,Bid,Ask,K.O.,Hebel,Laufzeit,Basis-preis,Abstand,Abstand in %,Risk/Reward
PC8C8K,Rheinmetall,BNP,Put,11.66,11.69,628.97,4.41,endlos,628.97,111.17000000000007,21.46967941290075,25.208616780045368
UM109A,Rheinmetall,UBSL,Put,11.66,11.69,627.28,4.41,endlos,627.28,109.48000000000002,21.14329857087679,24.82539682539683
HD49UU,Rheinmetall,UNCR,Put,11.71,11.73,629.71,4.39,endlos,629.71,111.91000000000008,21.61259173426035,25.492027334851958
SW7WHS,Rheinmetall,scoge,Put,1.2,1.21,599.06,4.27,endlos,635.31,117.50999999999999,22.69409038238702,27.519906323185012
UM3W46,Rheinmetall,UBSL,Put,1.2,1.21,632.39,4.27,endlos,632.39,114.59000000000003,22.130166087292398,26.8360655737705
PC8JLN,Rheinmetall,BNP,Put,1.2,1.21,631.97,4.27,endlos,631.97,114.17000000000007,22.049053688682903,26.737704918032808
PC7K0D,Rheinmetall,BNP,Put,12.05,12.08,603.19,4.27,endlos,634.94,117.1400000000001,22.622634221707244,27.43325526932087
JK3K3Q,Rheinmetall,JPMBV,Put,12.09,12.11,633.92,4.25,endlos,633.92,116.12,22.425646967941294,27.322352941176472
VD2RKJ,Rheinmetall,VON,Put,0.0,0.0,633.53,4.24,endlos,633.53,115.73000000000002,22.350328312089616,27.29481132075472
PC8H39,Rheinmetall,BNP,Put,1.21,1.22,603.23,4.24,endlos,634.97,117.17000000000007,22.62842796446506,27.63443396226417
UM3VUF,Rheinmetall,UBSL,Put,12.14,12.17,632.39,4.23,endlos,632.39,114.59000000000003,22.130166087292398,27.089834515366434
GG5T9X,Rheinmetall,GS,Put,12.22,12.24,637.45,4.21,endlos,637.45,119.65000000000009,23.107377365778312,28.420427553444203
JK7PL7,Rheinmetall,JPMBV,Put,1.22,1.23,634.69,4.2,endlos,634.69,116.8900000000001,22.57435303205873,27.830952380952404
PC8JLP,Rheinmetall,BNP,Put,1.22,1.23,633.97,4.2,endlos,633.97,116.17000000000007,22.43530320587101,27.659523809523826
PC6R26,Rheinmetall,BNP,Put,12.24,12.27,634.89,4.2,endlos,634.89,117.09000000000003,22.61297798377753,27.878571428571433
JK30BR,Rheinmetall,JPMBV,Put,12.26,12.28,598.7,4.19,endlos,637.02,119.22000000000003,23.024333719582856,28.453460620525064
JK6PH5,Rheinmetall,JPMBV,Put,12.27,12.29,635.79,4.19,endlos,635.79,117.99000000000001,22.78679026651217,28.159904534606206
HD49UV,Rheinmetall,UNCR,Put,12.31,12.33,634.71,4.18,endlos,634.71,116.91000000000008,22.578215527230608,27.96889952153112
UM3S32,Rheinmetall,UBSL,Put,1.23,1.24,634.56,4.17,endlos,634.56,116.75999999999999,22.549246813441485,28.0
UM3MBB,Rheinmetall,UBSL,Put,12.36,12.39,634.56,4.16,endlos,634.56,116.75999999999999,22.549246813441485,28.06730769230769
ME98SP,Rheinmetall,MSI,Put,12.36,12.38,599.86,4.16,endlos,638.14,120.34000000000003,23.240633449208197,28.92788461538462
SW7022,Rheinmetall,scoge,Put,1.24,1.25,637.59,4.13,endlos,637.59,119.79000000000008,23.134414831981477,29.004842615012127
PC8JLQ,Rheinmetall,BNP,Put,1.24,1.25,635.97,4.13,endlos,635.97,118.17000000000007,22.821552723059114,28.612590799031494
VD2RKH,Rheinmetall,VON,Put,0.0,0.0,636.53,4.13,endlos,636.53,118.73000000000002,22.92970258787177,28.748184019370466
DQ2N74,Rheinmetall,DZ,Put,12.52,12.56,609.39,4.1,endlos,639.83,122.03000000000009,23.567014291232155,29.763414634146365
PC6T8A,Rheinmetall,BNP,Put,12.54,12.57,607.9,4.1,endlos,639.9,122.10000000000002,23.580533024333725,29.780487804878057
UM1WHN,Rheinmetall,UBSL,Put,1.25,1.26,636.08,4.1,endlos,636.08,118.28000000000009,22.842796446504458,28.848780487804902
UM1068,Rheinmetall,UBSL,Put,12.54,12.57,636.08,4.1,endlos,636.08,118.28000000000009,22.842796446504458,28.848780487804902
PC6XQN,Rheinmetall,BNP,Put,12.55,12.58,637.9,4.1,endlos,637.9,120.10000000000002,23.19428350714562,29.292682926829276
JK45F1,Rheinmetall,JPMBV,Put,12.59,12.61,638.97,4.08,endlos,638.97,121.17000000000007,23.400926998841268,29.698529411764724
MG1Y8E,Rheinmetall,MSI,Put,12.62,12.64,639.95,4.07,endlos,639.95,122.15000000000009,23.590189262263443,30.012285012285034
PC8H4A,Rheinmetall,BNP,Put,1.26,1.27,607.98,4.07,endlos,639.97,122.17000000000007,23.59405175743532,30.017199017199033
PC8JLR,Rheinmetall,BNP,Put,1.26,1.27,637.97,4.07,endlos,637.97,120.17000000000007,23.207802240247215,29.525798525798542
DQ1UJX,Rheinmetall,DZ,Put,13.07,13.11,614.64,3.93,endlos,645.31,127.50999999999999,24.62533796832754,32.44529262086514
JK45Q9,Rheinmetall,JPMBV,Put,13.09,13.11,643.96,3.93,endlos,643.96,126.16000000000008,24.364619544225587,32.10178117048348
PC8H4B,Rheinmetall,BNP,Put,1.31,1.32,612.73,3.91,endlos,644.97,127.17000000000007,24.559675550405576,32.524296675191835
UM3V0R,Rheinmetall,UBSL,Put,1.31,1.32,642.38,3.91,endlos,642.38,124.58000000000004,24.059482425646976,31.861892583120213
UM3QF6,Rheinmetall,UBSL,Put,13.15,13.18,642.38,3.91,endlos,642.38,124.58000000000004,24.059482425646976,31.861892583120213
HD4CL7,Rheinmetall,UNCR,Put,13.2,13.22,644.74,3.9,endlos,644.74,126.94000000000005,24.515256855928943,32.548717948717965
UM4E3T,Rheinmetall,UBSL,Put,1.32,1.33,643.67,3.88,endlos,643.67,125.87,24.3086133642333,32.44072164948454
JK7PL9,Rheinmetall,JPMBV,Put,1.32,1.33,644.69,3.88,endlos,644.69,126.8900000000001,24.50560061799925,32.70360824742271
PC8JLU,Rheinmetall,BNP,Put,1.32,1.33,643.97,3.88,endlos,643.97,126.17000000000007,24.366550791811527,32.51804123711342
PC6TXL,Rheinmetall,BNP,Put,13.24,13.27,644.9,3.88,endlos,644.9,127.10000000000002,24.546156817303984,32.757731958762896
JK6PH3,Rheinmetall,JPMBV,Put,13.27,13.29,645.78,3.88,endlos,645.78,127.98000000000002,24.71610660486675,32.984536082474236
UM4D13,Rheinmetall,UBSL,Put,13.27,13.3,643.67,3.87,endlos,643.67,125.87,24.3086133642333,32.52454780361757
JK3WQN,Rheinmetall,JPMBV,Put,13.33,13.35,608.8,3.86,endlos,647.75,129.95000000000005,25.096562379297037,33.665803108808305
HS5JXY,Rheinmetall,TUB,Put,1.33,1.34,615.01,3.85,endlos,647.38,129.58000000000004,25.02510621861724,33.657142857142865
GG668Z,Rheinmetall,GS,Put,13.35,13.37,647.98,3.85,endlos,647.98,130.18000000000006,25.140981073773673,33.81298701298703
DQ1N6T,Rheinmetall,DZ,Put,13.35,13.39,645.86,3.85,endlos,645.86,128.06000000000006,24.73155658555428,33.26233766233768
VD2RKF,Rheinmetall,VON,Put,0.0,0.0,645.53,3.85,endlos,645.53,127.73000000000002,24.667825415218235,33.17662337662338
PC8JLV,Rheinmetall,BNP,Put,1.34,1.35,645.97,3.83,endlos,645.97,128.17000000000007,24.752800308999632,33.46475195822456
UM2VMS,Rheinmetall,UBSL,Put,1.34,1.35,645.18,3.82,endlos,645.18,127.38,24.600231749710314,33.345549738219894
UM27T6,Rheinmetall,UBSL,Put,13.44,13.47,645.18,3.82,endlos,645.18,127.38,24.600231749710314,33.345549738219894
HS5JTF,Rheinmetall,TUB,Put,13.52,13.56,649.38,3.8,endlos,649.38,131.58000000000004,25.41135573580534,34.62631578947369
SW5G7S,Rheinmetall,scoge,Put,1.35,1.36,647.58,3.8,endlos,647.58,129.7800000000001,25.063731170336055,34.15263157894739
PC64B5,Rheinmetall,BNP,Put,13.54,13.57,617.41,3.8,endlos,649.91,132.11,25.513711857860184,34.765789473684215
PC7BGV,Rheinmetall,BNP,Put,13.58,13.61,647.92,3.79,endlos,647.92,130.12,25.12939358825802,34.33245382585752
MG1449,Rheinmetall,MSI,Put,13.59,13.61,649.92,3.78,endlos,649.92,132.12,25.515643105446124,34.952380952380956
